scenario,trial,month,monthly_pl_kc
konzervativni,49,2,-669.95
konzervativni,49,3,-504.09
konzervativni,49,4,-353.47
konzervativni,49,5,-639.04
konzervativni,49,6,39.64
konzervativni,49,7,-666.1
konzervativni,49,8,-421.72
konzervativni,49,9,-375.01
konzervativni,49,10,-487.18
konzervativni,49,11,-524.35
konzervativni,49,12,-675.42
konzervativni,50,1,-716.17
konzervativni,50,2,-679.18
konzervativni,50,3,-800.0
konzervativni,50,4,-733.84
konzervativni,50,5,-484.9
konzervativni,50,6,-748.05
konzervativni,50,7,-477.94
konzervativni,50,8,-624.21
konzervativni,50,9,-351.61
konzervativni,50,10,-262.95
konzervativni,50,11,-695.25
konzervativni,50,12,-603.85
konzervativni,51,1,-800.0
konzervativni,51,2,-663.58
konzervativni,51,3,-582.6
konzervativni,51,4,-613.28
konzervativni,51,5,-626.66
konzervativni,51,6,-485.78
konzervativni,51,7,-639.38
konzervativni,51,8,-461.1
konzervativni,51,9,-543.42
konzervativni,51,10,-694.12
konzervativni,51,11,-665.29
konzervativni,51,12,-58.66
konzervativni,52,1,-800.0
konzervativni,52,2,-774.79
konzervativni,52,3,-702.81
konzervativni,52,4,-645.25
konzervativni,52,5,-658.57
konzervativni,52,6,-738.34
konzervativni,52,7,-674.32
konzervativni,52,8,-429.51
konzervativni,52,9,-235.45
konzervativni,52,10,-285.69
konzervativni,52,11,-588.19
konzervativni,52,12,-718.55
konzervativni,53,1,-707.4
konzervativni,53,2,-856.33
konzervativni,53,3,-147.79
konzervativni,53,4,-583.24
konzervativni,53,5,-645.85
konzervativni,53,6,-364.55
konzervativni,53,7,-479.32
konzervativni,53,8,-88.51
konzervativni,53,9,-554.71
konzervativni,53,10,-781.01
konzervativni,53,11,-292.43
konzervativni,53,12,-621.76
konzervativni,54,1,-512.1
konzervativni,54,2,-826.95
konzervativni,54,3,-696.84
konzervativni,54,4,-442.31
konzervativni,54,5,-630.17
konzervativni,54,6,-808.0
konzervativni,54,7,-395.79
konzervativni,54,8,-713.74
konzervativni,54,9,-478.92
konzervativni,54,10,-420.01
konzervativni,54,11,-621.61
konzervativni,54,12,-307.37
konzervativni,55,1,-800.0
konzervativni,55,2,-800.0
konzervativni,55,3,-606.86
konzervativni,55,4,-572.46
konzervativni,55,5,-465.74
konzervativni,55,6,-494.38
konzervativni,55,7,-679.74
konzervativni,55,8,-725.28
konzervativni,55,9,-665.07
konzervativni,55,10,-480.5
konzervativni,55,11,-526.84
